id,file,start_line,end_line,kind,name,signature,is_exported,called_from_count,has_test
FN-0001,server.js,15,26,middleware,requestIdTracking,anonymous,no,many,no
FN-0002,server.js,65,77,middleware,authenticate,"function authenticate(req, res, next)",no,many,no
FN-0003,server.js,80,93,middleware,checkTrial,"async function checkTrial(req, res, next)",no,4,no
FN-0004,server.js,95,105,middleware,webchatAuth,"function webchatAuth(req, res, next)",no,1,no
FN-0005,server.js,111,130,function,fetchModels,"async function fetchModels()",no,5,no
FN-0006,server.js,132,182,function,routeToModel,"function routeToModel(task, message, models)",no,4,no
FN-0007,server.js,188,254,route,POST /api/auth/register,"async (req, res) => {}",no,0,no
FN-0008,server.js,256,276,route,POST /api/auth/login,"async (req, res) => {}",no,0,no
FN-0009,server.js,278,286,route,GET /api/auth/me,"async (req, res) => {}",no,0,no
FN-0010,server.js,292,299,route,GET /api/v1/models,"async (req, res) => {}",no,0,no
FN-0011,server.js,305,398,route,POST /api/v1/chat/completions,"async (req, res) => {}",no,0,no
FN-0012,server.js,404,437,route,POST /api/v1/images/generations,"async (req, res) => {}",no,0,no
FN-0013,server.js,443,460,route,GET /api/agents,"async (req, res) => {}",no,0,no
FN-0014,server.js,462,490,route,POST /api/agents,"async (req, res) => {}",no,0,no
FN-0015,server.js,492,507,route,PUT /api/agents/:id,"async (req, res) => {}",no,0,no
FN-0016,server.js,509,519,route,DELETE /api/agents/:id,"async (req, res) => {}",no,0,no
FN-0017,server.js,525,543,route,GET /api/conversations,"async (req, res) => {}",no,0,no
FN-0018,server.js,545,558,route,POST /api/conversations,"async (req, res) => {}",no,0,no
FN-0019,server.js,560,572,route,GET /api/conversations/:id,"async (req, res) => {}",no,0,no
FN-0020,server.js,574,675,route,POST /api/conversations/:id/messages,"async (req, res) => {}",no,0,no
FN-0021,server.js,681,789,route,POST /api/channels/webchat/message,"async (req, res) => {}",no,0,no
FN-0022,server.js,795,807,route,GET /api/billing/plan,"async (req, res) => {}",no,0,no
FN-0023,server.js,809,832,route,GET /api/billing/trial-status,"async (req, res) => {}",no,0,no
FN-0024,server.js,834,850,route,GET /api/billing/usage,"async (req, res) => {}",no,0,no
FN-0025,server.js,856,891,route,PUT /api/workspace/onboarding,"async (req, res) => {}",no,0,no
FN-0026,server.js,897,914,route,GET /api/crm/customers,"async (req, res) => {}",no,0,no
FN-0027,server.js,916,933,route,POST /api/crm/customers,"async (req, res) => {}",no,0,no
FN-0028,server.js,939,955,route,GET /api/knowledge/documents,"async (req, res) => {}",no,0,no
FN-0029,server.js,957,973,route,POST /api/knowledge/documents,"async (req, res) => {}",no,0,no
FN-0030,server.js,979,1011,route,GET /api/analytics/dashboard,"async (req, res) => {}",no,0,no
FN-0031,server.js,1017,1026,route,GET /api/health,"async (req, res) => {}",no,0,no
FN-0032,server.js,1032,1036,middleware,errorHandler,"(err, req, res, next) => {}",no,1,no
FN-0033,server.js,1038,1042,callback,startup,() => {},no,0,no
FN-0034,server.js,1045,1051,handler,SIGTERM,() => {},no,0,no
FN-0035,services/yookassa.js,9,21,function,getCheckout,"function getCheckout()",no,6,no
FN-0036,services/yookassa.js,23,61,function,createPayment,"async function createPayment({...})",yes,0,no
FN-0037,services/yookassa.js,63,67,function,getPayment,"async function getPayment(paymentId)",yes,0,no
FN-0038,services/yookassa.js,69,80,function,capturePayment,"async function capturePayment(paymentId, amount)",yes,0,no
FN-0039,services/yookassa.js,82,86,function,cancelPayment,"async function cancelPayment(paymentId)",yes,0,no
